ticket,symbol,type,entry_price,lot_size,stop_loss,take_profit,open_time,close_time,close_price,profit,is_open
1,XAUUSD,SELL,1998.0077250211111,0.05,1998.0327250211112,1997.9677250211112,2024-01-01 09:50:00,2024-01-01 09:55:00,1995.7539800253546,1126.872497878253,False
2,XAUUSD,SELL,1990.7725658149136,0.05,1990.7975658149137,1990.7325658149136,2024-01-01 10:40:00,2024-01-01 10:45:00,1992.2377672398454,-732.60071246591,False
3,XAUUSD,SELL,1990.7967905775215,0.05,1990.8217905775216,1990.7567905775215,2024-01-01 11:50:00,2024-01-01 11:55:00,1988.1945996892696,1301.0954441259628,False
4,XAUUSD,BUY,1971.3970137381232,0.05,1971.372013738123,1971.4370137381231,2024-01-01 15:10:00,2024-01-01 15:15:00,1973.1392464813334,871.116371605126,False
5,XAUUSD,SELL,1951.9754829858487,0.05,1952.0004829858487,1951.9354829858487,2024-01-01 17:00:00,2024-01-01 17:05:00,1953.600527497881,-812.5222560162229,False
6,XAUUSD,SELL,1954.0948404200485,0.05,1954.1198404200486,1954.0548404200485,2024-01-01 17:45:00,2024-01-01 17:50:00,1956.1956652823815,-1050.4124311664782,False
7,XAUUSD,SELL,1952.4020222999072,0.05,1952.4270222999073,1952.3620222999073,2024-01-01 18:25:00,2024-01-01 18:30:00,1951.2040699728288,598.9761635391915,False
8,XAUUSD,BUY,1949.7616315540463,0.05,1949.7366315540462,1949.8016315540463,2024-01-01 19:20:00,2024-01-01 19:25:00,1948.5649710053497,-598.3302743483137,False
9,XAUUSD,SELL,1947.6666063452726,0.05,1947.6916063452727,1947.6266063452726,2024-01-01 20:05:00,2024-01-01 20:10:00,1949.1820161714131,-757.7049130702562,False
10,XAUUSD,BUY,1962.4457210954756,0.05,1962.4207210954755,1962.4857210954756,2024-01-01 21:50:00,2024-01-01 21:55:00,1962.3332044393821,-56.258328046737915,False
11,XAUUSD,BUY,1961.4522770311855,0.05,1961.4272770311854,1961.4922770311855,2024-01-01 23:30:00,2024-01-01 23:35:00,1960.2530737485577,-599.6016413139387,False
